task_name,instance_num,job_name,task_type,status,start_time,end_time,duration,plan_cpu,plan_mem
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,11,j_374403,10,Terminated,129604,129769,165,75,0.1
task_OTg1NjA1OTIxMzA4ODkxNg==,71,j_88285,8,Terminated,151218,151248,30,100,0.59
task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,25,j_88285,8,Terminated,151218,151279,61,100,0.59
task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,17,j_386584,8,Terminated,216019,216094,75,100,0.59
task_OTg1NjA1OTIxMzA4ODkxNg==,47,j_386584,8,Terminated,216019,216065,46,100,0.59
task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,25,j_888119,8,Terminated,583220,583276,56,100,0.59
task_OTg1NjA1OTIxMzA4ODkxNg==,71,j_888119,8,Terminated,583220,583249,29,100,0.59
task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,25,j_581430,8,Terminated,410422,410470,48,100,0.59
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,12,j_391121,10,Terminated,561624,561658,34,100,0.1
task_OTg1NjA1OTIxMzA4ODkxNg==,23,j_323551,8,Terminated,108025,108210,185,100,0.59
task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,17,j_104903,8,Terminated,561625,561672,47,100,0.59
task_OTg1NjA1OTIxMzA4ODkxNg==,23,j_528396,8,Terminated,108025,108192,167,100,0.59
task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,17,j_559106,8,Terminated,388826,388887,61,100,0.59
task_OTg1NjA1OTIxMzA4ODkxNg==,47,j_559106,8,Terminated,388826,388849,23,100,0.59
task_OTg1NjA1OTIxMzA4ODkxNg==,23,j_490241,8,Terminated,540033,540069,36,100,0.59
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,13,j_499929,10,Terminated,583235,583272,37,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,13,j_423333,10,Terminated,475238,475276,38,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,23,j_561333,10,Terminated,561639,561675,36,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,53,j_268800,10,Terminated,561642,561676,34,100,0.1
task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,25,j_103252,8,Terminated,237643,237725,82,100,0.59
task_OTg1NjA1OTIxMzA4ODkxNg==,71,j_103252,8,Terminated,237643,237681,38,100,0.59
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,83,j_430242,10,Terminated,302451,302505,54,100,0.1
task_LTI0MjU2NDM0NTE3NDI0MzkwNjE=,22,j_407507,3,Terminated,280863,280915,52,100,0.39
task_MzQwMDQzNjY0MzkwNzU2ODYyMg==,61,j_391757,3,Terminated,367263,367300,37,100,0.31
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,14,j_89441,10,Terminated,583264,583303,39,100,0.1
task_OTg1NjA1OTIxMzA4ODkxNg==,99,j_139415,8,Terminated,475264,475442,178,100,0.59
task_MzQwMDQzNjY0MzkwNzU2ODYyMg==,22,j_407507,3,Terminated,280866,280887,21,100,0.39
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,13,j_709125,10,Terminated,583271,583318,47,100,0.1
task_ODg3NTU4NTE3NDcxODA4NjA5Ng==,40,j_529988,3,Terminated,194489,194566,77,100,0.39
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,16,j_229513,10,Terminated,302493,302519,26,100,0.1
